日期,商品名稱,身份別,多方交易口數,多方交易契約金額,空方交易口數,空方交易契約金額,多空交易口數淨額,多空交易契約金額淨額,多方未平倉口數,多方未平倉契約金額,空方未平倉口數,空方未平倉契約金額,多空未平倉口數淨額,多空未平倉契約金額淨額
2026/04/01,臺股期貨,投信,1475,9843880,215,1434156,1260,8409724,43996,293796489,5081,33929902,38915,259866587
2026/04/01,臺股期貨,外資及陸資,85126,557489505,80802,529398394,4324,28091111,14923,99663976,46296,309187865,-31373,-209523889
2026/04/02,臺股期貨,自營商,8901,58866292,6242,41356737,2659,17509556,4298,27980050,5033,32740773,-735,-4760723
2026/04/02,臺股期貨,投信,141,920072,1043,6792037,-902,-5871964,43302,281506302,5289,34383789,38013,247122513
2026/04/02,臺股期貨,外資及陸資,86899,577591911,90367,600794551,-3468,-23202640,11742,76346171,46597,302959551,-34855,-226613380
2026/04/07,臺股期貨,自營商,4789,31639924,6275,41470638,-1486,-9830715,3993,26535451,6294,41785169,-2301,-15249718
2026/04/07,臺股期貨,投信,623,4133609,360,2388181,263,1745428,43389,287903371,5113,33926800,38276,253976571
2026/04/07,臺股期貨,外資及陸資,68593,450748643,65088,427859453,3505,22889190,14038,93160629,45388,301201353,-31350,-208040724
2026/04/08,臺股期貨,自營商,10137,69737317,13751,94886784,-3614,-25149467,3522,24706284,9432,66075887,-5910,-41369603
2026/04/08,臺股期貨,投信,2461,17210967,453,3169952,2008,14041015,44663,312783922,4379,30667013,40284,282116909
2026/04/08,臺股期貨,外資及陸資,87926,596854072,89075,604769854,-1149,-7915782,14559,101973856,47037,329439405,-32478,-227465549
2026/04/09,臺股期貨,自營商,7941,55558361,6581,46068997,1360,9489364,3938,27558820,8541,59690798,-4603,-32131978
2026/04/09,臺股期貨,投信,353,2468636,683,4765014,-330,-2296377,44325,309604419,4371,30530561,39954,279073858
2026/04/09,臺股期貨,外資及陸資,61592,431504225,62496,437800729,-904,-6296504,13893,97061372,47292,330372390,-33399,-233311018
2026/04/10,臺股期貨,自營商,6873,48586475,8573,60644965,-1700,-12058489,3556,25353503,9851,70116548,-6295,-44763045
2026/04/10,臺股期貨,投信,1528,10877833,936,6654077,592,4223757,44782,318581850,4236,30134057,40546,288447793
2026/04/10,臺股期貨,外資及陸資,54119,381464634,55123,388593734,-1004,-7129099,13115,93347661,47518,338104718,-34403,-244757057
2026/04/13,臺股期貨,自營商,13325,94757660,13960,99477655,-635,-4719995,3842,27354145,11166,79478184,-7324,-52124039
2026/04/13,臺股期貨,投信,26806,191318803,27619,196178810,-813,-4860007,43999,313002536,4266,30328458,39733,282674078
2026/04/13,臺股期貨,外資及陸資,84575,601382806,86167,613386538,-1592,-12003732,15086,107361580,51082,363369580,-35996,-256008000
2026/04/14,臺股期貨,自營商,12028,87207326,13838,100438096,-1810,-13230769,3340,24434510,12548,91858248,-9208,-67423738
2026/04/14,臺股期貨,投信,22293,162849900,20831,151432160,1462,11417740,45225,331470186,4030,29539094,41195,301931092
2026/04/14,臺股期貨,外資及陸資,73399,530675790,74093,536503194,-694,-5827405,16327,119486355,52991,388053117,-36664,-268566762
2026/04/15,臺股期貨,自營商,13060,96429342,12415,91691091,645,4738251,2975,22024081,10378,76784107,-7403,-54760026
2026/04/15,臺股期貨,投信,1981,14672823,931,6881575,1050,7791248,46195,341704415,3950,29218150,42245,312486265
2026/04/15,臺股期貨,外資及陸資,51954,383184671,53788,396789391,-1834,-13604720,16346,120911393,53129,393014145,-36783,-272102752
2026/04/16,臺股期貨,自營商,8070,60181904,7426,55391017,644,4790887,3499,26367500,10277,77407027,-6778,-51039527
2026/04/16,臺股期貨,投信,763,5733613,383,2882630,380,2850983,46486,350030283,3861,29072558,42625,320957725
2026/04/16,臺股期貨,外資及陸資,46019,342929609,48086,358290069,-2067,-15360459,16924,127438275,56607,426266050,-39683,-298827775
2026/04/17,臺股期貨,自營商,9363,69688397,8066,60034556,1297,9653841,3888,28852790,9356,69404507,-5468,-40551717
2026/04/17,臺股期貨,投信,300,2224646,633,4693176,-333,-2468530,46238,342882513,3946,29261958,42292,313620555
2026/04/17,臺股期貨,外資及陸資,55411,412322471,56878,423240064,-1467,-10917593,18245,135300683,59396,440482591,-41151,-305181908
2026/04/20,臺股期貨,自營商,7924,59467525,6759,50753103,1165,8714422,4020,29964329,8284,61725800,-4264,-31761471
2026/04/20,臺股期貨,投信,421,3142156,611,4557920,-190,-1415764,46043,342928264,3941,29352568,42102,313575696
2026/04/20,臺股期貨,外資及陸資,53905,404996698,54540,409786892,-635,-4790194,18280,136154014,60898,453600927,-42618,-317446913
2026/04/21,臺股期貨,自營商,7433,56222593,8371,63374240,-938,-7151647,3311,25220232,8514,64817676,-5203,-39597444
2026/04/21,臺股期貨,投信,985,7493874,182,1384971,803,6108903,46684,355246566,3779,28756678,42905,326489888
2026/04/21,臺股期貨,外資及陸資,56915,429758319,55580,419635622,1335,10122697,20082,152820546,61377,467085962,-41295,-314265416
2026/04/22,臺股期貨,自營商,7665,58405735,6890,52540106,775,5865629,3404,26046816,7804,59680901,-4400,-33634085
2026/04/22,臺股期貨,投信,711,5432644,1864,14242428,-1153,-8809784,45531,348002539,3779,28883653,41752,319118886
2026/04/22,臺股期貨,外資及陸資,58624,445779444,59884,455348589,-1260,-9569146,19557,149483125,62112,474770497,-42555,-325287372
2026/04/23,臺股期貨,自營商,12047,92039663,10375,79331096,1672,12708567,3543,26859178,6661,50470843,-3118,-23611665
2026/04/23,臺股期貨,投信,130,985437,573,4336124,-443,-3350687,45286,342824077,3977,30106685,41309,312717392
2026/04/23,臺股期貨,外資及陸資,81079,619451639,82557,630573243,-1478,-11121604,18185,137673415,62212,471011504,-44027,-333338089
2026/04/24,臺股期貨,自營商,9951,76983688,11928,92188147,-1977,-15204459,2923,22960328,7885,61890708,-4962,-38930380
2026/04/24,臺股期貨,投信,790,6197005,372,2909677,418,3287329,45735,358763634,4008,31440355,41727,327323279
2026/04/24,臺股期貨,外資及陸資,87607,673785016,84205,647690946,3402,26094070,20056,157336394,60689,476110806,-40633,-318774412
2026/04/27,臺股期貨,自營商,10064,80587325,8990,71975366,1074,8611960,3168,25321474,6960,55610258,-3792,-30288784
2026/04/27,臺股期貨,投信,1577,12594743,659,5288287,918,7306455,47132,376311314,4487,35825105,42645,340486209
